ticker,company_name,sector,quantity,buy_price,current_price
JNJ,Johnson & Johnson,Healthcare,12,200.1,280.61
DUK,Duke Energy Corp,Utilities,48,131.36,157.47
V,Visa Inc,Financials,84,217.91,293.71
EQIX,Equinix Inc,Real Estate,42,56.16,67.3
BAC,Bank of America Corp,Financials,26,208.36,301.62
LOW,Lowe's Cos Inc,Consumer Discretionary,89,207.4,333.53
TSLA,Tesla Inc,Technology,36,161.2,227.15
AVGO,Broadcom Inc,Technology,66,346.36,602.89
LLY,Eli Lilly and Co,Healthcare,23,344.24,481.93
CRM,Salesforce Inc,Technology,25,473.85,704.85
TTWO,Take-Two Interactive Software Inc,Communication Services,21,220.95,346.65
K,Kellogg Co,Consumer Staples,25,121.75,167.95
F,Ford Motor Co,Consumer Discretionary,107,155.08,239.59
CI,Cigna Group The,Healthcare,18,245.32,310.77
CSX,CSX Corp,Industrials,29,202.14,272.87
KDP,Keurig Dr Pepper Inc,Consumer Staples,20,145.15,199.63
INTU,Intuit Inc,Technology,22,197.32,271.02
AZO,AutoZone Inc,Consumer Discretionary,36,176.88,284.35
MU,Micron Technology Inc,Technology,8,281.5,420.21
LRCX,Lam Research Corp,Technology,6,226.22,353.25
HON,Honeywell International Inc,Industrials,80,140.83,192.5
MSFT,Microsoft Corp,Technology,21,492.2,798.41
GOOGL,Alphabet Inc,Technology,13,220.91,338.88
MCD,McDonald's Corp,Consumer Discretionary,48,380.99,507.7
AEP,American Electric Power Co Inc,Utilities,31,41.35,47.77
RTX,RTX Corp,Industrials,10,292.41,380.97
TSLA2,Tesla Inc,Technology,15,330.81,408.85
MS,Morgan Stanley,Financials,68,148.21,215.17
ORCL,Oracle Corp,Technology,16,252.15,357.9
VICI,VICI Properties Inc,Real Estate,41,114.32,127.27
ADBE,Adobe Inc,Technology,36,132.47,214.74
GM,General Motors Co,Consumer Discretionary,31,198.9,337.27
INTC,Intel Corp,Technology,20,215.24,305.34
AMD,AMD Inc,Technology,55,416.5,610.83
CSX2,CSX Corp,Industrials,17,105.25,143.14
ZTS,Zoetis Inc,Healthcare,89,125.52,184.9
INTU2,Intuit Inc,Technology,28,429.7,607.93
BXP,Boston Properties Inc,Real Estate,16,95.61,126.77
MU2,Micron Technology Inc,Technology,38,275.1,386.85
CVS,CVS Health Corp,Consumer Staples,109,103.5,134.18
PG,Procter & Gamble Co,Consumer Staples,93,63.94,76.85
MSFT2,Microsoft Corp,Technology,34,405.24,633.01
GOOGL2,Alphabet Inc,Technology,20,211.26,351.62
DIS,Walt Disney Co,Communication Services,27,340.72,431.56
